Dep,Prov,Sec,NomDep,NomProv,NombreMunicipio,IdLoc,AsientoElectoral,Reci,NombreRecinto,Dist,NomDist,Zona,NomZona,Direccion,MaxMesasReci,NroCircun,TipoCircun,NomCircun,latitud,longitud,idTipoRecinto,TipoRecinto,idUrbanoRural,descUrbanoRural
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5024,Escuela Primavera,5,DISTRITO 5,112,221,Barrio Villa Primavera,1,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.708983,-63.129114,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5027,Esc. Los Sauces I,5,DISTRITO 5,230,ET 51,B/Los Sauces C/3 Oeste entre C/A y C/B,7,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.728327,-63.179549,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5028,Col. Juan La Borde Morel,5,DISTRITO 5,193,77,B/ENTELNorte  C/ C y Palestina ,12,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.72277,-63.16035,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,5029,Col. Arturo Medeiros,5,DISTRITO 5,236,Sin Nombre 1,Villa Carmela C/Principal 1 Cuad.A Dere,10,44,Uninominal,Cuadragésimo Cuarta-Santa Cruz,-17.723379,-63.190904,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6000,Col. Sor Maria Cristina Perez,6,DISTRITO 6,42,140,Barrio Guaracachi - Diagonal 20 y Diagonal 21,24,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.781357,-63.145322,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6001,U. E. Carlos La Torre,6,DISTRITO 6,43,141,Barrio San Antonio,14,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.77396,-63.12363,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6002,Col. Pampa De La Isla,6,DISTRITO 6,43,141,Barrio Pampa de La Isla /Avenida Jenecherú entre Av. Virgen de Cotoca y Calle 1,18,45,Uninominal,Cuadragésimo Quinta-Santa Cruz,-17.77277,-63.12679,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6003,Colegio San Felipe,6,DISTRITO 6,44,141B,Barrio Las Pampitas C/San Felipe N/44 entre C/ 3 y C/ 4,30,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.76667,-63.122998,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6004,Col.  Pedro Añez,6,DISTRITO 6,44,141B,Barrio Las Pampitas - Av. S/N frente a PROSALUD,24,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.76698,-63.11894,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6005,U.E. 23 de Diciembre J. Carlos Truji,6,DISTRITO 6,57,154,Barrio 23 de Diciembre-  C/ Collareta S/N a una cuadra de la Av. Virgen de Cpotoca,23,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.76983,-63.11529,7,Unidad Educativa,20,Urbano
7,1,1,Santa Cruz                                                                                                                                            ,Andrés Ibáñez,Santa Cruz de La Sierra,2234,Santa Cruz de la Sierra,6006,U.E. Elvira Parada A,6,DISTRITO 6,54,151,Barrio Virgen de Lujan C/1 Sur entre AV. Virgen de Lujan y El Gomero,15,46,Uninominal,Cuadragésimo Sexta-Santa Cruz,-17.75476,-63.12992,7,Unidad Educativa,20,Urbano
